0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,5,0,0,9,0,0,7,2,2,3,0,0,19491030.47515079,206121160.45479912,92100000.0,0.0,0.0140143129451546
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,0,0,10,1,0,0,1,2,3,0,0,50857724.56111679,230768607.15021116,30700000.0,0.0,0.0545767706264741
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2433029865.8810267,31398797.71871161,84600000.0,0.0,2.207918862217829
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1273528866.7337742,34221561.73832255,115300000.0,0.0,0.8167085157811517 
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3235616524.1505885,0.0,176700000.0,0.0,3.350611311644034
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6256386201.70347,0.0,61400000.0,0.0,4.766201564264812
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1558769552.8220935,66916462.83248448,61400000.0,0.0,0.9248852036515756
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3131187095.1321807,0.0,297900000.0,0.0,3.2859169112316238
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6604597457.885209,0.0,30700000.0,0.0,4.977636158174462
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1681658086.6788735,31398797.71871161,115300000.0,0.0,1.3061529082826546
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954353720.722899,32694901.09416193,30700000.0,0.0,3.773190040320111
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511542650.3593893,0.0,146000000.0,0.0,3.5240796555657066
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4815251062.384846,26403379.54230644,61400000.0,0.0,3.0381060537758917
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3927810651.666937,31398797.71871161,61400000.0,0.0,1.9739575587824605
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,511046179.7831157,83427467.04207496,115300000.0,15999.628420870613,0.0498463423585762
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1182967100.3228552,31398797.71871161,146000000.0,0.0,0.7318356500833549
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1561374931.5890431,64093698.81287354,61400000.0,0.0,0.9280093682267434
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5346355587.752069,28798397.130608942,30700000.0,0.0,3.4688518203542698
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7040998457.143192,0.0,0.0,0.0,5.26608738733336
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,3,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,309892371.34659106,71616812.80210674,638600000.0,12836.910699775925,0.0295001529759714
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2061150645.5323489,64093698.81287354,30700000.0,0.0,1.503010342788446
1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,2,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,173085356.6320374,76641096.69370905,624900000.0,5572.575531785543,0.0260633501351945
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4381281911.001678,31398797.71871161,30700000.0,0.0,2.311611640316816
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1180361721.5559056,34221561.73832255,146000000.0,0.0,0.7287114855081871
1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,472288443.45392704,69643919.67047566,297900000.0,18634.449212214346,0.0354422735483296
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637603692.7446575,0.0,84600000.0,70206.11339056719,1.3148455386815607
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3455734966.3070736,26403379.54230644,146000000.0,0.0,3.457159485742363
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574861161.869424,0.0,115300000.0,0.0,3.5763326058143194
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,8,0,0,9,3,0,4,7,0,3,0,0,12382490.9882468,258836740.86684525,61400000.0,0.0,0.0167330153618708
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,9,0,0,0,0,0,0,0,0,171791964.38630372,136259130.62516436,30700000.0,3292.1175825439614,0.0512304322344413
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1137977217.867632,64093698.81287354,146000000.0,0.0,0.7100102087920618
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3053660287.3957314,0.0,419100000.0,0.0,3.2374184479115278
1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,983648280.4572648,26403379.54230644,382500000.0,0.0,0.7428807442966433
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,180476233.8663452,97573593.96979272,115300000.0,0.0,0.1159834503711304
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1765611333.3571362,28798397.130608942,146000000.0,0.0,1.430496626315502
1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,755016283.873474,61493298.22477088,297900000.0,26417.79702353547,0.0703084949824215
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1242425614.6727605,82900557.02495345,0.0,0.0,0.7989527511018086
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,904435595.3471051,28798397.130608942,176700000.0,0.0,0.5552431415865144
1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,800006166.3286973,28798397.130608942,297900000.0,0.0,0.4905487411741037
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,7,0,0,10,6,0,0,0,0,0,1,0,69332010.99836807,228796753.3610181,0.0,1206.1422152713817,0.0281858785097136
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2813622524.056319,64093698.81287354,0.0,0.0,2.405469702068345
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,128832836.59703408,130743256.58805355,92100000.0,2595.67963586759,0.0313832950346514
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3189428395.5639524,28798397.130608942,115300000.0,0.0,3.1141520546116546
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,746839629.1084216,69643919.67047566,146000000.0,24219.23493604985,0.0763898479450691
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,182152192.83875483,130743256.58805355,61400000.0,3666.3196738976408,0.0444791153372211
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,525915885.5607951,88451750.93367727,84600000.0,0.0,0.3469011715735486
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,7,0,0,10,0,0,0,7,7,3,0,0,2180494.713224987,212881846.2521019,176700000.0,48.55371010441624,0.0003497029497599
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,701849746.6531985,111935425.32485196,61400000.0,29735.608984953557,0.0584928254011001
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1621491723.22436,69979938.99472135,30700000.0,0.0,0.9746200081463444
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,6,0,0,9,3,0,0,1,0,3,0,0,64315518.3808912,218360401.6203511,30700000.0,1108.1106746879564,0.0267336708291833
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,9,0,0,0,0,0,0,0,0,552882044.2829512,125706954.17077936,0.0,10149.760300521448,0.1309645834679883
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4033070654.81994,28798397.130608942,61400000.0,0.0,2.1001770464071647
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664569851.466814,37255203.23710208,0.0,0.0,3.669238056619643
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1653021425.5872495,66916462.83248448,30700000.0,0.0,1.0135659502869432
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1135371839.1006825,76513067.39269884,61400000.0,0.0,0.7068860442168939
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,6,0,0,10,0,0,0,1,4,3,0,0,24919407.31673696,199250444.2994077,61400000.0,1001.2963615375088,0.0023406607463534
1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,515505272.8117609,67043519.082373,297900000.0,16360.663108119235,0.0520761735356132
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3529871279.4142,42291505.65437629,30700000.0,0.0,3.5545071645230264
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,221964560.2582517,110260123.8096867,84600000.0,3163.9740186012104,0.0845089764920748
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,227142075.293978,88451750.93367727,146000000.0,7915.013098305789,0.0174454247340289
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3601827320.5915794,37255203.23710208,30700000.0,0.0,3.593221943874072
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,903002128.0961434,80103453.57205722,84600000.0,0.0,0.7007561802873471
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,3,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,230913280.1176142,77039977.40982035,419100000.0,8189.666641697757,0.0173102541387496
1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3008670404.9405084,6320800.309666242,503700000.0,58517.628381183385,1.1576134823832842
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1135371839.1006825,66916462.83248448,146000000.0,49286.76023814612,0.0848263253060272
