0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,7,0,0,10,0,0,0,7,7,3,0,0,2180494.713224987,212881846.2521019,176700000.0,48.55371010441624,0.0003497029497599
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,6,0,0,10,0,0,0,1,4,3,0,0,24919407.31673696,199250444.2994077,61400000.0,1001.2963615375088,0.0023406607463534
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,5,0,0,10,0,0,0,1,0,7,0,0,21458287.278503627,191394640.39222908,176700000.0,713.8672714962117,0.0022266214818702
1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,2,0,1,0,7,0,0,9,0,0,0,0,1,0,0,0,17832614.850336343,152940203.04535398,419100000.0,200.97425412242723,0.0013873655076692
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,0,0,6,0,0,10,0,0,3,3,1,7,0,0,22952150.51338412,227837535.52435797,61400000.0,906.0766918943864,0.0022410811142758
0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,7,0,0,10,0,0,1,0,0,0,0,0,3866510.883157341,123851270.95019671,770100000.0,0.0,0.0026718330435983
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,7,0,0,9,5,0,3,0,0,7,0,0,14110989.436719345,247830107.6425763,61400000.0,480.68297552948695,0.0021593365125853
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,9,0,0,10,4,0,3,0,4,3,0,0,45298487.013922125,305928682.30655086,0.0,1195.0420208838932,0.009288295359334
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,10,5,0,0,0,0,2,0,0,52612405.8410548,225985022.6956604,30700000.0,1979.2576661385292,0.0063918810359908
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,10,4,0,0,0,3,3,0,0,67364754.19501524,235574189.41433877,0.0,2392.448649354102,0.0092957132044935
0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,85494659.85423875,87580135.33853345,419100000.0,2016.817570910713,0.0059936067400969
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,10,3,0,3,4,2,0,1,0,65397497.3916624,247173540.10861915,0.0,2297.2289797109797,0.0091961335724159
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,5,0,0,9,0,0,0,0,1,2,0,0,38422171.566930845,166613085.67279986,176700000.0,1099.8376976266986,0.0027538944692255
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,1,6,7,0,10,1,7,6,1,1,3,0,0,7650716.837794707,415002021.3291029,61400000.0,146.4366370738402,0.0022410811142758
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,7,0,0,10,0,0,0,1,0,0,0,0,7245106.243809609,156546172.04435864,388400000.0,144.10803777463076,0.0025362772224923
1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,2,0,0,0,3,0,0,6,0,0,0,1,0,0,0,0,67825353.47903436,85562297.59147796,1098800000.0,2256.853603196132,0.0071304269914888
1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,2,0,0,6,0,0,10,0,0,0,1,0,0,0,0,19641958.26893941,153836127.35645503,267200000.0,640.7171427716034,0.0021338072525601
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,8,0,3,9,7,0,3,0,6,4,0,0,12382490.9882468,328832162.3429843,61400000.0,410.7902880572684,0.0020079618434245
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3,0,0,6,0,0,10,0,0,0,0,0,1,0,0,25827658.10014774,177588843.5502367,92100000.0,875.2364948646896,0.0025188752571035
1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,7,0,0,10,0,0,0,1,0,1,0,3,3556739.9025874697,180277148.69363356,382500000.0,0.0,0.0019359103758191
