,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,7,0,0,9,3,0,6,0,0,2,4,1,21579272.129030652,285853134.36949337,267200000.0,0.0,0.026419748094848556
1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,3,1,0,7,0,0,9,2,0,6,6,4,0,2,2,16658895.157003786,321941210.1460696,213300000.0,0.0,0.013126668560961572
2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,4,7,0,8,0,3,9,7,0,10,6,1,2,7,0,8330252.3344769245,480238780.0941062,92100000.0,280.6298537495786,0.001330805097616038
3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,6,1,0,7,2,0,10,1,7,7,4,4,3,4,2,0.0,493064592.6621032,213300000.0,0.0,0.0
4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,5,0,0,6,3,0,10,5,0,3,0,4,3,4,1,5837012.039279203,381181550.85355914,182600000.0,114.80222865178516,0.0015170474042290447
5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,5,0,0,7,0,0,9,1,0,1,1,4,5,0,7,17202102.594164375,307545512.7256458,92100000.0,293.3064269803584,0.00740425507807759
6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,7,0,0,10,2,7,0,4,0,3,1,3,16050047.932210442,350071781.256319,61400000.0,292.51632860480964,0.005942278765929254
7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,10,2,0,0,0,5,0,0,0,297587844.9619949,134146784.71943642,115300000.0,10767.344149562407,0.02320992575923519
8,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,5,0,0,10,2,0,0,2,3,0,0,1,74116852.28327844,218347215.00496322,279200000.0,0.0,0.046127629992078326
9,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,6,0,0,9,2,0,6,6,3,3,0,0,65506783.470577896,207636639.40424415,267200000.0,1046.2811256137556,0.005321185815412303
