0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,3,3,0,3,1,2,5,2,5,8,5,7,6,2,8,3,395145887.981665,506104437.52915156,1093800000.0,23392.69248611362,0.04118411627308703
0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,6,2,1,5,0,6,10,1,2,8,0,10,5,265255117.8982082,507587678.16495544,1469400000.0,7423.058813648242,0.09866445675821428
0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,4,0,1,8,0,3,9,9,6,9,9,2,10,1,0,2,404621334.7581919,520418494.17978096,747000000.0,27235.435085116827,0.0419081085929459
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,7,4,1,0,2,0,1,4,1,7,8,9,1,7,8,566569939.0105702,489252000.82114565,303800000.0,16232.356528061462,0.17626408638840482
0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,4,8,10,6,1,7,7,0,6,4,4,9,1,5,0.0,683697715.1766181,569600000.0,0.0,0.0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,4,5,6,3,3,0,3,8,10,10,5,0,3,6,8,134639894.22324932,598269986.2512537,402100000.0,7457.963099254372,0.014132481817542349
1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,2,6,7,2,1,8,6,5,1,10,3,9,1,10,6442093.964720691,658287293.0704399,845300000.0,173.33012465654673,0.001996437511896921
1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,8,4,2,1,5,8,1,7,9,2,10,2,7,0,281056814.5816068,530893646.7094495,486700000.0,0.0,0.2550647276034659
0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,4,9,5,3,8,0,3,2,1,9,3,7,7,3,2,6,16105939.191243298,611336612.633723,675200000.0,945.4924393048417,0.003626203793297
0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,4,4,0,3,5,0,7,2,7,10,8,3,4,3,9,6,31873014.398616035,551528417.9815588,985200000.0,2196.6810375792516,0.003879237350378033
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,9,5,0,7,0,5,3,5,6,3,5,3,10,5,2,42966252.7884507,590813415.1038961,710400000.0,975.3471829879027,0.024493099561258593
1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,2,2,8,3,3,4,0,3,5,2,3,5,7,6,3,2,127094196.28793372,524029641.8729696,1486700000.0,5606.989405280896,0.016630382837414682
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,6,9,9,4,6,3,4,5,9,6,7,5,5,0,33155593.707837425,706846663.1572807,279200000.0,0.0,0.05670560809036189
0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,9,3,8,9,3,0,6,5,3,10,8,0,4,2,1,0.0,651532889.3181957,1561600000.0,0.0,0.0
1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,4,1,1,2,8,1,1,2,3,7,10,8,9,6,0,5,58022478.84470192,539236539.0778005,1864000000.0,3201.460380221377,0.011718120446160676
1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,4,0,5,9,0,1,3,3,8,0,7,5,10,8,0,8,601125700.2888291,478640894.3889005,1305500000.0,43304.77440933723,0.0647012354459902
